tick,nr_active,kernel,bitshift,lut,poly,errBS,errLUT,errPoly,errPctBS,errPctLUT,errPctPoly
0,0.523926,0.523926,0.523926,0.522949,0.523438,0.000000,0.000977,0.000488,0.0000,0.1864,0.0932
1,0.482422,0.520508,0.520996,0.520020,0.520020,0.000488,0.000488,0.000488,0.0938,0.0938,0.0938
2,0.520996,0.520996,0.520996,0.519043,0.519531,0.000000,0.001953,0.001465,0.0000,0.3749,0.2812
3,0.436523,0.514160,0.515625,0.512207,0.512207,0.001465,0.001953,0.001953,0.2849,0.3799,0.3799
4,0.518066,0.514648,0.515625,0.511719,0.511719,0.000977,0.002930,0.002930,0.1898,0.5693,0.5693
5,0.406250,0.505859,0.508789,0.502930,0.502930,0.002930,0.002930,0.002930,0.5792,0.5792,0.5792
6,0.437012,0.500000,0.503906,0.498047,0.497070,0.003906,0.001953,0.002930,0.7812,0.3906,0.5859
7,0.508789,0.500977,0.504395,0.500488,0.497559,0.003418,0.000488,0.003418,0.6823,0.0975,0.6823
8,0.434082,0.495605,0.500000,0.494629,0.492188,0.004395,0.000977,0.003418,0.8867,0.1970,0.6897
9,0.431641,0.490234,0.495605,0.490234,0.486816,0.005371,0.000000,0.003418,1.0956,0.0000,0.6972
10,0.485840,0.489746,0.495117,0.491211,0.486328,0.005371,0.001465,0.003418,1.0967,0.2991,0.6979
11,0.393555,0.481934,0.488770,0.483887,0.478516,0.006836,0.001953,0.003418,1.4184,0.4053,0.7092
12,0.521973,0.485352,0.490723,0.486816,0.481445,0.005371,0.001465,0.003906,1.1066,0.3018,0.8048
13,0.464844,0.483398,0.489258,0.485840,0.479980,0.005859,0.002441,0.003418,1.2121,0.5051,0.7071
14,0.479980,0.482910,0.488770,0.483398,0.479492,0.005859,0.000488,0.003418,1.2133,0.1011,0.7078
15,0.465820,0.481445,0.487305,0.482422,0.478027,0.005859,0.000977,0.003418,1.2170,0.2028,0.7099
16,0.437988,0.477539,0.484375,0.479980,0.474121,0.006836,0.002441,0.003418,1.4315,0.5112,0.7157
17,0.427734,0.473145,0.480469,0.476074,0.470215,0.007324,0.002930,0.002930,1.5480,0.6192,0.6192
18,0.489746,0.474609,0.480957,0.477051,0.471191,0.006348,0.002441,0.003418,1.3374,0.5144,0.7202
19,0.428711,0.470703,0.477539,0.472168,0.467285,0.006836,0.001465,0.003418,1.4523,0.3112,0.7261
20,0.510254,0.474121,0.479492,0.475098,0.470215,0.005371,0.000977,0.003906,1.1329,0.2060,0.8239
21,0.531250,0.479004,0.482910,0.480469,0.474609,0.003906,0.001465,0.004395,0.8155,0.3058,0.9174
22,0.546387,0.484863,0.486816,0.485352,0.479980,0.001953,0.000488,0.004883,0.4028,0.1007,1.0070
23,0.547852,0.490234,0.490723,0.488770,0.484863,0.000488,0.001465,0.005371,0.0996,0.2988,1.0956
24,0.535645,0.494141,0.493652,0.491211,0.488281,0.000488,0.002930,0.005859,0.0988,0.5929,1.1858
25,0.509766,0.495605,0.494629,0.493164,0.489258,0.000977,0.002441,0.006348,0.1970,0.4926,1.2808
26,0.517090,0.497559,0.496094,0.493652,0.490723,0.001465,0.003906,0.006836,0.2944,0.7851,1.3739
27,0.565430,0.503418,0.500488,0.497559,0.496094,0.002930,0.005859,0.007324,0.5820,1.1639,1.4549
28,0.568848,0.508789,0.504395,0.501465,0.501465,0.004395,0.007324,0.007324,0.8637,1.4395,1.4395
29,0.519531,0.509766,0.505371,0.501465,0.502441,0.004395,0.008301,0.007324,0.8621,1.6284,1.4368
30,0.440918,0.503906,0.501465,0.495117,0.497070,0.002441,0.008789,0.006836,0.4845,1.7442,1.3566
31,0.442383,0.498535,0.497559,0.491211,0.492188,0.000977,0.007324,0.006348,0.1959,1.4691,1.2733
32,0.484863,0.497070,0.497070,0.491211,0.491211,0.000000,0.005859,0.005859,0.0000,1.1788,1.1788
33,0.490234,0.496094,0.496582,0.491699,0.490723,0.000488,0.004395,0.005371,0.0984,0.8858,1.0827
34,0.403809,0.488281,0.490723,0.484863,0.483398,0.002441,0.003418,0.004883,0.5000,0.7000,1.0000
35,0.545898,0.493164,0.494141,0.488770,0.487793,0.000977,0.004395,0.005371,0.1980,0.8911,1.0891
36,0.486816,0.492188,0.493652,0.487305,0.487305,0.001465,0.004883,0.004883,0.2976,0.9921,0.9921
37,0.492188,0.492188,0.493652,0.487793,0.487305,0.001465,0.004395,0.004883,0.2976,0.8929,0.9921
38,0.538574,0.496094,0.496094,0.491699,0.491211,0.000000,0.004395,0.004883,0.0000,0.8858,0.9843
39,0.555664,0.500977,0.500000,0.497070,0.496094,0.000977,0.003906,0.004883,0.1949,0.7797,0.9747
40,0.488770,0.499512,0.499023,0.495117,0.495117,0.000488,0.004395,0.004395,0.0978,0.8798,0.8798
41,0.478516,0.497559,0.498047,0.494141,0.493164,0.000488,0.003418,0.004395,0.0981,0.6869,0.8832
42,0.548340,0.501953,0.501465,0.499512,0.497070,0.000488,0.002441,0.004883,0.0973,0.4864,0.9728
43,0.440430,0.496582,0.497559,0.495117,0.492188,0.000977,0.001465,0.004395,0.1967,0.2950,0.8850
44,0.451660,0.492676,0.494629,0.492188,0.488770,0.001953,0.000488,0.003906,0.3964,0.0991,0.7929
45,0.410156,0.485840,0.489258,0.485352,0.481934,0.003418,0.000488,0.003906,0.7035,0.1005,0.8040
46,0.394043,0.478027,0.483398,0.476562,0.474121,0.005371,0.001465,0.003906,1.1236,0.3064,0.8172
47,0.395508,0.471191,0.478027,0.469238,0.467285,0.006836,0.001953,0.003906,1.4508,0.4145,0.8290
48,0.547363,0.477539,0.482422,0.474609,0.473145,0.004883,0.002930,0.004395,1.0225,0.6135,0.9202
49,0.560547,0.484375,0.487305,0.482422,0.479492,0.002930,0.001953,0.004883,0.6048,0.4032,1.0081
50,0.567871,0.491211,0.492188,0.490723,0.486328,0.000977,0.000488,0.004883,0.1988,0.0994,0.9940
51,0.444336,0.487305,0.488770,0.487793,0.482422,0.001465,0.000488,0.004883,0.3006,0.1002,1.0020
52,0.572754,0.494629,0.494141,0.494141,0.488770,0.000488,0.000488,0.005859,0.0987,0.0987,1.1846
53,0.398438,0.486816,0.488281,0.487793,0.480957,0.001465,0.000977,0.005859,0.3009,0.2006,1.2036
54,0.530762,0.490723,0.490723,0.491211,0.484863,0.000000,0.000488,0.005859,0.0000,0.0995,1.1940
55,0.532227,0.494141,0.493652,0.495117,0.488281,0.000488,0.000977,0.005859,0.0988,0.1976,1.1858
56,0.527832,0.497070,0.495605,0.498047,0.490723,0.001465,0.000977,0.006348,0.2947,0.1965,1.2770
57,0.478516,0.495117,0.494629,0.498047,0.489258,0.000488,0.002930,0.005859,0.0986,0.5917,1.1834
58,0.501465,0.496094,0.495117,0.500000,0.489746,0.000977,0.003906,0.006348,0.1969,0.7874,1.2795
59,0.393555,0.487793,0.488770,0.491211,0.481445,0.000977,0.003418,0.006348,0.2002,0.7007,1.3013
60,0.506348,0.489746,0.489746,0.493164,0.483398,0.000000,0.003418,0.006348,0.0000,0.6979,1.2961
61,0.441406,0.485840,0.486816,0.487793,0.479492,0.000977,0.001953,0.006348,0.2010,0.4020,1.3065
62,0.511230,0.488281,0.488281,0.489258,0.481445,0.000000,0.000977,0.006836,0.0000,0.2000,1.4000
63,0.528320,0.491699,0.490723,0.490723,0.484863,0.000977,0.000977,0.006836,0.1986,0.1986,1.3903
64,0.445801,0.487793,0.488281,0.488281,0.481445,0.000488,0.000488,0.006348,0.1001,0.1001,1.3013
65,0.560547,0.493652,0.492676,0.493164,0.487305,0.000977,0.000488,0.006348,0.1978,0.0989,1.2859
66,0.513184,0.495605,0.493652,0.493652,0.489258,0.001953,0.001953,0.006348,0.3941,0.3941,1.2808
67,0.420898,0.489258,0.488770,0.486328,0.483398,0.000488,0.002930,0.005859,0.0998,0.5988,1.1976
68,0.408691,0.482422,0.483887,0.481445,0.477051,0.001465,0.000977,0.005371,0.3036,0.2024,1.1134
69,0.390625,0.474609,0.478516,0.473145,0.469727,0.003906,0.001465,0.004883,0.8230,0.3086,1.0288
